T,3.7,Nsite,400
-244.0,4.69270000e+04,3.58843310e+01,1.95986686e+03,1.03660524e+07
-240.0,4.68230000e+04,3.51405933e+01,1.87918826e+03,9.53518130e+06
-236.0,4.52080000e+04,3.45306141e+01,1.82265104e+03,9.09638541e+06
-232.0,4.35280000e+04,3.38424003e+01,1.75430840e+03,8.38413912e+06
-228.0,4.09920000e+04,3.32484875e+01,1.69855786e+03,7.93719151e+06
-224.0,3.82630000e+04,3.26089956e+01,1.63959658e+03,7.46617393e+06
-220.0,3.54500000e+04,3.20674753e+01,1.58278499e+03,6.97646342e+06
-216.0,3.22230000e+04,3.17905223e+01,1.55118431e+03,6.74001823e+06
-212.0,2.91720000e+04,3.13946250e+01,1.52134321e+03,6.46317279e+06
-208.0,2.61070000e+04,3.08876547e+01,1.47460650e+03,6.08742190e+06
-204.0,2.30030000e+04,2.99758292e+01,1.39778968e+03,5.56152747e+06
-200.0,1.93070000e+04,2.99199254e+01,1.38888900e+03,5.42132870e+06
-196.0,1.64690000e+04,2.91624264e+01,1.32088749e+03,4.94071067e+06
-192.0,1.37740000e+04,2.90872659e+01,1.31717497e+03,4.96212754e+06
-188.0,1.11780000e+04,2.83637502e+01,1.25873001e+03,4.59303592e+06
-184.0,8.96800000e+03,2.77934880e+01,1.19646387e+03,4.04222401e+06
-180.0,7.16900000e+03,2.72316920e+01,1.15017883e+03,3.66906038e+06
-176.0,5.75200000e+03,2.70302503e+01,1.13421627e+03,3.62923343e+06
-172.0,4.48400000e+03,2.65249777e+01,1.10407047e+03,3.47530943e+06
-168.0,3.31800000e+03,2.65780591e+01,1.09293671e+03,3.29354921e+06
-164.0,2.34700000e+03,2.65164039e+01,1.06589007e+03,3.02641154e+06
-160.0,1.81600000e+03,2.60429515e+01,1.04430176e+03,2.94755613e+06
-156.0,1.24800000e+03,2.62900641e+01,1.04727885e+03,2.82059312e+06
-152.0,8.69000000e+02,2.56846951e+01,9.87295742e+02,2.44186554e+06
-148.0,5.33000000e+02,2.56135084e+01,1.00430769e+03,2.65460317e+06
-144.0,3.63000000e+02,2.65619835e+01,1.05058953e+03,2.71009485e+06
-140.0,2.37000000e+02,2.54599156e+01,9.78919831e+02,2.51642768e+06
-136.0,1.85000000e+02,2.52108108e+01,9.16410811e+02,1.85149751e+06
-132.0,1.14000000e+02,2.64035088e+01,1.00200000e+03,2.15963074e+06
-128.0,7.80000000e+01,2.86153846e+01,1.15897436e+03,2.82369805e+06
-124.0,5.70000000e+01,2.41403509e+01,8.45614035e+02,1.61363256e+06
-120.0,2.60000000e+01,2.60769231e+01,9.51846154e+02,1.94181846e+06
-116.0,1.20000000e+01,1.96666667e+01,6.23333333e+02,9.42493333e+05
-112.0,6.00000000e+00,2.13333333e+01,5.48000000e+02,4.25136000e+05
-108.0,1.00000000e+01,2.64000000e+01,7.74400000e+02,7.30604800e+05
-104.0,4.00000000e+00,2.80000000e+01,8.30000000e+02,8.22536000e+05
