T,3.7,Nsite,400
energy,hist_E,hist_M,hist_M2,hist_M4
-408.0,1.00000000e+00,6.60000000e+01,4.35600000e+03,1.89747360e+07
-400.0,5.00000000e+00,9.40000000e+01,9.91120000e+03,1.41526442e+08
-396.0,1.50000000e+01,9.53333333e+01,1.22152000e+04,2.96149699e+08
-392.0,1.60000000e+01,1.02000000e+02,1.35605000e+04,3.10790486e+08
-388.0,2.50000000e+01,9.21600000e+01,1.25638400e+04,3.29320609e+08
-384.0,2.90000000e+01,7.46896552e+01,8.83793103e+03,1.86042913e+08
-380.0,3.80000000e+01,7.04736842e+01,7.60389474e+03,1.51308923e+08
-376.0,6.00000000e+01,6.64666667e+01,6.67186667e+03,1.14388854e+08
-372.0,9.90000000e+01,7.51515152e+01,7.88242424e+03,1.30985011e+08
-368.0,1.04000000e+02,7.31538462e+01,7.67761538e+03,1.40533388e+08
-364.0,1.92000000e+02,6.81666667e+01,6.48145833e+03,9.13880728e+07
-360.0,2.49000000e+02,6.01285141e+01,5.35800803e+03,7.60381013e+07
-356.0,3.34000000e+02,6.49520958e+01,6.13344910e+03,8.58517955e+07
-352.0,4.54000000e+02,6.08149780e+01,5.47944493e+03,7.09609930e+07
-348.0,6.78000000e+02,6.22182891e+01,5.54620649e+03,6.83002674e+07
-344.0,9.33000000e+02,6.07974277e+01,5.36385852e+03,6.83078486e+07
-340.0,1.21900000e+03,5.84708778e+01,4.98247744e+03,6.12000941e+07
-336.0,1.65600000e+03,5.43623188e+01,4.39833816e+03,4.97085087e+07
-332.0,2.16800000e+03,5.38800738e+01,4.30708856e+03,4.66238886e+07
-328.0,2.78300000e+03,5.40122170e+01,4.34793245e+03,4.81821892e+07
-324.0,3.68300000e+03,5.15655715e+01,4.00114689e+03,4.09757389e+07
-320.0,4.62100000e+03,5.17935512e+01,4.00406059e+03,4.06868879e+07
-316.0,5.83500000e+03,4.98426735e+01,3.68985775e+03,3.44454817e+07
-312.0,7.27100000e+03,4.89487003e+01,3.59145592e+03,3.33303010e+07
-308.0,8.82500000e+03,4.84108782e+01,3.49714176e+03,3.09353657e+07
-304.0,1.08080000e+04,4.77842339e+01,3.41116802e+03,2.95154633e+07
-300.0,1.31970000e+04,4.62887020e+01,3.21479003e+03,2.66083515e+07
-296.0,1.58470000e+04,4.53131823e+01,3.08371073e+03,2.46862972e+07
-292.0,1.84640000e+04,4.44951256e+01,2.97837890e+03,2.29467580e+07
-288.0,2.18060000e+04,4.36632120e+01,2.86614400e+03,2.10006277e+07
-284.0,2.45300000e+04,4.27743987e+01,2.77600978e+03,2.03346607e+07
-280.0,2.76410000e+04,4.16826453e+01,2.64498983e+03,1.87654563e+07
-276.0,3.06890000e+04,4.10146958e+01,2.56700055e+03,1.76929731e+07
-272.0,3.39560000e+04,4.00358110e+01,2.45392155e+03,1.63274885e+07
-268.0,3.70020000e+04,3.92622020e+01,2.36923864e+03,1.53090517e+07
-264.0,4.02080000e+04,3.85163152e+01,2.28181377e+03,1.42589384e+07
-260.0,4.19590000e+04,3.80130604e+01,2.22261856e+03,1.35102679e+07
-256.0,4.41800000e+04,3.74094613e+01,2.15247343e+03,1.26514562e+07
-252.0,4.54030000e+04,3.66801313e+01,2.07231505e+03,1.19075740e+07
-248.0,4.69400000e+04,3.63340009e+01,2.02076515e+03,1.11524847e+07
