T,3.2,Nsite,400
energy,hist_E,hist_M,hist_M2,hist_M4
-480.0,1.00000000e+00,1.80000000e+02,3.24000000e+04,1.04976000e+09
-476.0,2.00000000e+00,1.91000000e+02,3.78500000e+04,1.63239246e+09
-472.0,3.00000000e+00,8.93333333e+01,1.66746667e+04,7.54926859e+08
-468.0,1.00000000e+00,1.56000000e+02,2.43360000e+04,5.92240896e+08
-464.0,8.00000000e+00,1.17250000e+02,1.83715000e+04,6.58228582e+08
-460.0,4.00000000e+00,1.57000000e+02,2.78020000e+04,9.85000456e+08
-456.0,7.00000000e+00,1.05714286e+02,1.48377143e+04,4.43256434e+08
-452.0,1.60000000e+01,1.32750000e+02,2.28040000e+04,8.27865028e+08
-448.0,2.90000000e+01,1.05793103e+02,1.70314483e+04,6.94427400e+08
-444.0,2.30000000e+01,1.34695652e+02,2.34933913e+04,9.37724279e+08
-440.0,3.20000000e+01,1.11312500e+02,1.64766250e+04,5.34323054e+08
-436.0,6.40000000e+01,1.10843750e+02,1.59680625e+04,4.82912228e+08
-432.0,7.80000000e+01,1.16102564e+02,1.75235897e+04,5.38485932e+08
-428.0,1.03000000e+02,1.10621359e+02,1.56998447e+04,4.35817807e+08
-424.0,1.42000000e+02,1.00774648e+02,1.31835211e+04,3.20065048e+08
-420.0,1.94000000e+02,9.88144330e+01,1.28288866e+04,3.17038747e+08
-416.0,2.91000000e+02,9.65498282e+01,1.26099244e+04,3.08441850e+08
-412.0,4.04000000e+02,9.16039604e+01,1.11802970e+04,2.40137199e+08
-408.0,5.83000000e+02,8.83773585e+01,1.04942436e+04,2.21897765e+08
-404.0,7.88000000e+02,8.21345178e+01,9.45601523e+03,1.93007390e+08
-400.0,1.02600000e+03,8.14697856e+01,9.33231189e+03,1.89568759e+08
-396.0,1.39800000e+03,8.02246066e+01,9.11357082e+03,1.82118798e+08
-392.0,1.66600000e+03,7.77971188e+01,8.59821128e+03,1.60006504e+08
-388.0,2.16100000e+03,7.48394262e+01,8.16746321e+03,1.53838230e+08
-384.0,2.77800000e+03,7.15161987e+01,7.42991793e+03,1.25662864e+08
-380.0,3.58600000e+03,7.04757390e+01,7.30382934e+03,1.25473020e+08
-376.0,4.68900000e+03,6.96963105e+01,7.07234378e+03,1.14061195e+08
-372.0,5.83800000e+03,6.91514217e+01,6.97016444e+03,1.12121323e+08
-368.0,7.01500000e+03,6.70343550e+01,6.58497334e+03,1.01670557e+08
-364.0,8.59400000e+03,6.59781243e+01,6.33045660e+03,9.31258150e+07
-360.0,1.02900000e+04,6.41341108e+01,6.04399456e+03,8.61094700e+07
-356.0,1.21980000e+04,6.26663387e+01,5.75847975e+03,7.86499955e+07
-352.0,1.46960000e+04,6.07599347e+01,5.45692542e+03,7.13472642e+07
-348.0,1.70300000e+04,5.90950088e+01,5.15242607e+03,6.43170961e+07
-344.0,1.91180000e+04,5.83801653e+01,5.03229878e+03,6.18959946e+07
-340.0,2.19530000e+04,5.70009566e+01,4.81100588e+03,5.73598148e+07
-336.0,2.46130000e+04,5.52192744e+01,4.55812684e+03,5.25450913e+07
-332.0,2.74420000e+04,5.43074120e+01,4.41080942e+03,4.91429448e+07
-328.0,3.03020000e+04,5.30299650e+01,4.22299558e+03,4.57174662e+07
-324.0,3.31600000e+04,5.20796743e+01,4.06185995e+03,4.17773156e+07
-320.0,3.57880000e+04,5.08041243e+01,3.87451872e+03,3.83106127e+07
-316.0,3.83760000e+04,4.96320096e+01,3.70568011e+03,3.52734658e+07
-312.0,3.96970000e+04,4.86111797e+01,3.55835323e+03,3.25879617e+07
-308.0,4.19280000e+04,4.77788590e+01,3.43842473e+03,3.04857079e+07
-304.0,4.26660000e+04,4.68068251e+01,3.31045610e+03,2.85435178e+07
-300.0,4.32040000e+04,4.58891769e+01,3.18283307e+03,2.65272838e+07
-296.0,4.37030000e+04,4.50989635e+01,3.06382061e+03,2.44492556e+07
-292.0,4.35400000e+04,4.39603124e+01,2.92453780e+03,2.25269294e+07
-288.0,4.25590000e+04,4.35302521e+01,2.86285749e+03,2.13871866e+07
-284.0,4.12200000e+04,4.25316351e+01,2.73436555e+03,1.97744367e+07
-280.0,3.91010000e+04,4.17349428e+01,2.64219094e+03,1.85000596e+07
-276.0,3.69810000e+04,4.11263081e+01,2.56972240e+03,1.75178736e+07
-272.0,3.47460000e+04,4.00122604e+01,2.44656340e+03,1.62573329e+07
-268.0,3.21520000e+04,3.96046902e+01,2.39409443e+03,1.54548929e+07
-264.0,2.91120000e+04,3.89694284e+01,2.30923234e+03,1.42860269e+07
-260.0,2.61180000e+04,3.82801899e+01,2.23729275e+03,1.36054335e+07
-256.0,2.32760000e+04,3.78040041e+01,2.17731827e+03,1.27652002e+07
-252.0,2.02750000e+04,3.73785450e+01,2.12462382e+03,1.21886386e+07
-248.0,1.76710000e+04,3.64855413e+01,2.02439522e+03,1.10851212e+07
-244.0,1.49460000e+04,3.56504750e+01,1.94214693e+03,1.01931614e+07
-240.0,1.26760000e+04,3.55896182e+01,1.93828621e+03,1.02165569e+07
-236.0,1.06970000e+04,3.43473871e+01,1.81973824e+03,9.14594380e+06
-232.0,8.46500000e+03,3.42341406e+01,1.79712321e+03,8.79083434e+06
-228.0,6.83800000e+03,3.32676221e+01,1.71006727e+03,8.06138277e+06
-224.0,5.36800000e+03,3.37678838e+01,1.73691580e+03,8.32281690e+06
-220.0,4.35900000e+03,3.22482221e+01,1.58368341e+03,6.76886478e+06
-216.0,3.29000000e+03,3.27471125e+01,1.65038419e+03,7.61030068e+06
-212.0,2.50100000e+03,3.14442223e+01,1.54884126e+03,6.99835963e+06
-208.0,1.88700000e+03,3.09305776e+01,1.50131002e+03,6.41156541e+06
-204.0,1.35100000e+03,3.02561066e+01,1.42048261e+03,5.40952037e+06
-200.0,9.97000000e+02,3.04794383e+01,1.41076830e+03,5.34136987e+06
-196.0,7.47000000e+02,3.04417671e+01,1.38842303e+03,5.03170373e+06
-192.0,4.96000000e+02,2.96814516e+01,1.28275000e+03,4.03092352e+06
-188.0,3.33000000e+02,3.09249249e+01,1.43936336e+03,6.38954181e+06
-184.0,1.99000000e+02,2.80703518e+01,1.22277387e+03,4.40286239e+06
-180.0,1.49000000e+02,3.01342282e+01,1.34783893e+03,5.04711291e+06
-176.0,8.80000000e+01,3.01590909e+01,1.38404545e+03,5.36119509e+06
-172.0,6.20000000e+01,2.74516129e+01,1.13283871e+03,4.09676361e+06
-168.0,3.70000000e+01,2.37297297e+01,7.29837838e+02,1.00365968e+06
-164.0,1.60000000e+01,1.42500000e+01,3.76500000e+02,4.98198000e+05
-160.0,1.70000000e+01,2.16470588e+01,5.62823529e+02,4.78140235e+05
-156.0,7.00000000e+00,1.65714286e+01,3.14285714e+02,1.36425143e+05
-152.0,2.00000000e+00,6.00000000e+00,4.00000000e+01,2.17600000e+03
-148.0,6.00000000e+00,1.60000000e+01,4.48000000e+02,5.26176000e+05
-144.0,3.00000000e+00,1.46666667e+01,2.58666667e+02,1.00362667e+05
-140.0,2.00000000e+00,2.20000000e+01,6.80000000e+02,8.41856000e+05
