T,1.7,Nsite,400
energy,hist_E,hist_M,hist_M2,hist_M4
-800.0,1.10000000e+04,4.00000000e+02,1.60000000e+05,2.56000000e+10
-792.0,3.98150000e+04,3.98000000e+02,1.58404000e+05,2.50918272e+10
-788.0,7.61300000e+03,3.96000000e+02,1.56816000e+05,2.45912579e+10
-784.0,7.42840000e+04,3.95920844e+02,1.56753510e+05,2.45717841e+10
-780.0,2.80260000e+04,3.93905088e+02,1.55161531e+05,2.40752932e+10
-776.0,9.56720000e+04,3.93711034e+02,1.55009080e+05,2.40282468e+10
-772.0,5.21950000e+04,3.91722885e+02,1.53447719e+05,2.35467492e+10
-768.0,1.00126000e+05,3.91336456e+02,1.53145833e+05,2.34546249e+10
-764.0,6.74560000e+04,3.89438241e+02,1.51663954e+05,2.30030409e+10
-760.0,8.91600000e+04,3.88817631e+02,1.51182041e+05,2.28577404e+10
-756.0,6.81870000e+04,3.87027586e+02,1.49793612e+05,2.24400529e+10
-752.0,7.20880000e+04,3.86173982e+02,1.49134862e+05,2.22438709e+10
-748.0,5.68330000e+04,3.84508226e+02,1.47851619e+05,2.18630398e+10
-744.0,5.21030000e+04,3.83416156e+02,1.47014753e+05,2.16172798e+10
-740.0,4.20910000e+04,3.81862869e+02,1.45826566e+05,2.12695870e+10
-736.0,3.51040000e+04,3.80587284e+02,1.44856408e+05,2.09889131e+10
-732.0,2.69610000e+04,3.79042024e+02,1.43684041e+05,2.06513960e+10
-728.0,2.17020000e+04,3.77657359e+02,1.42638501e+05,2.03532228e+10
-724.0,1.64200000e+04,3.76150792e+02,1.41504393e+05,2.00317723e+10
-720.0,1.23460000e+04,3.74659647e+02,1.40387412e+05,1.97182356e+10
-716.0,9.11500000e+03,3.73114646e+02,1.39234377e+05,1.93969728e+10
-712.0,6.75600000e+03,3.71598875e+02,1.38108095e+05,1.90858964e+10
-708.0,4.70500000e+03,3.69776408e+02,1.36762339e+05,1.87186911e+10
-704.0,3.28800000e+03,3.68203163e+02,1.35604852e+05,1.84050754e+10
-700.0,2.29300000e+03,3.66756215e+02,1.34545354e+05,1.81207390e+10
-696.0,1.54800000e+03,3.64918605e+02,1.33214835e+05,1.77706294e+10
-692.0,1.00800000e+03,3.63333333e+02,1.32052373e+05,1.74586839e+10
-688.0,7.20000000e+02,3.61027778e+02,1.30400322e+05,1.70332993e+10
-684.0,5.00000000e+02,3.59564000e+02,1.29337560e+05,1.67537662e+10
-680.0,3.37000000e+02,3.58308605e+02,1.28450481e+05,1.65312285e+10
-676.0,1.95000000e+02,3.55723077e+02,1.26607323e+05,1.60629328e+10
-672.0,1.24000000e+02,3.53080645e+02,1.24762806e+05,1.56113616e+10
-668.0,7.50000000e+01,3.50613333e+02,1.23025920e+05,1.51809183e+10
-664.0,5.70000000e+01,3.49754386e+02,1.22421754e+05,1.50311800e+10
-660.0,4.10000000e+01,3.44097561e+02,1.18545756e+05,1.41177402e+10
-656.0,2.80000000e+01,3.44785714e+02,1.19023286e+05,1.42323101e+10
-652.0,1.10000000e+01,3.45090909e+02,1.19173818e+05,1.42416711e+10
-648.0,6.00000000e+00,3.30333333e+02,1.09251333e+05,1.19941609e+10
-644.0,5.00000000e+00,3.36400000e+02,1.13375200e+05,1.29454866e+10
-636.0,5.00000000e+00,3.18000000e+02,1.01456800e+05,1.04391408e+10
-632.0,1.00000000e+00,3.42000000e+02,1.16964000e+05,1.36805773e+10
