T,2.2,Nsite,400
energy,hist_E,hist_M,hist_M2,hist_M4
-480.0,1.33600000e+03,1.51929641e+02,2.84535419e+04,1.23842036e+09
-476.0,1.10000000e+03,1.50630909e+02,2.77640836e+04,1.18000680e+09
-472.0,9.62000000e+02,1.46790021e+02,2.67001247e+04,1.10004493e+09
-468.0,8.50000000e+02,1.43618824e+02,2.57046871e+04,1.04290999e+09
-464.0,7.49000000e+02,1.35847797e+02,2.33792417e+04,9.04659225e+08
-460.0,5.91000000e+02,1.34690355e+02,2.25888799e+04,8.19490800e+08
-456.0,5.15000000e+02,1.26275728e+02,2.08387883e+04,7.53586425e+08
-452.0,4.08000000e+02,1.23916667e+02,1.98977745e+04,6.78628929e+08
-448.0,3.20000000e+02,1.18612500e+02,1.84043500e+04,5.99602323e+08
-444.0,2.46000000e+02,1.15000000e+02,1.72349106e+04,5.29801984e+08
-440.0,2.11000000e+02,1.11071090e+02,1.62997915e+04,4.83113532e+08
-436.0,1.69000000e+02,1.05621302e+02,1.48356686e+04,4.11157554e+08
-432.0,1.25000000e+02,9.48160000e+01,1.28440320e+04,3.51645690e+08
-428.0,1.17000000e+02,1.08991453e+02,1.58919658e+04,4.59345609e+08
-424.0,8.60000000e+01,9.91162791e+01,1.35762791e+04,3.63529972e+08
-420.0,6.90000000e+01,1.02753623e+02,1.41791884e+04,3.70136973e+08
-416.0,4.80000000e+01,8.61666667e+01,1.02111667e+04,2.34605305e+08
-412.0,2.90000000e+01,9.00689655e+01,1.09611034e+04,2.14705081e+08
-408.0,3.30000000e+01,9.32727273e+01,1.18704242e+04,2.59147304e+08
-404.0,2.40000000e+01,8.82500000e+01,1.10251667e+04,2.31883509e+08
-400.0,1.80000000e+01,8.67777778e+01,1.07971111e+04,2.67243455e+08
-396.0,1.40000000e+01,9.34285714e+01,1.01845714e+04,1.56193365e+08
-392.0,1.30000000e+01,1.00615385e+02,1.21778462e+04,2.80776342e+08
-388.0,7.00000000e+00,1.22857143e+02,1.84628571e+04,5.30956951e+08
-384.0,5.00000000e+00,7.76000000e+01,6.62240000e+03,5.79154496e+07
-380.0,2.00000000e+00,1.16000000e+02,1.34920000e+04,1.83971728e+08
-376.0,3.00000000e+00,4.86666667e+01,3.40933333e+03,1.98743093e+07
-372.0,5.00000000e+00,8.68000000e+01,8.56560000e+03,1.01984573e+08
-368.0,1.00000000e+00,6.40000000e+01,4.09600000e+03,1.67772160e+07
-364.0,2.00000000e+00,8.20000000e+01,6.74000000e+03,4.58579360e+07
-360.0,1.00000000e+00,7.80000000e+01,6.08400000e+03,3.70150560e+07
-356.0,1.00000000e+00,9.40000000e+01,8.83600000e+03,7.80748960e+07
