T,2.7,Nsite,400
energy,hist_E,hist_M,hist_M2,hist_M4
-624.0,1.00000000e+00,2.86000000e+02,8.17960000e+04,6.69058562e+09
-616.0,1.00000000e+00,3.20000000e+02,1.02400000e+05,1.04857600e+10
-612.0,2.00000000e+00,3.27000000e+02,1.06930000e+05,1.14344526e+10
-608.0,2.00000000e+00,3.03000000e+02,9.27700000e+04,8.95918670e+09
-604.0,1.00000000e+00,3.46000000e+02,1.19716000e+05,1.43319207e+10
-600.0,5.00000000e+00,3.16000000e+02,9.98992000e+04,9.99680502e+09
-596.0,5.00000000e+00,3.22800000e+02,1.04263200e+05,1.08972188e+10
-592.0,1.00000000e+00,2.30000000e+02,5.29000000e+04,2.79841000e+09
-588.0,8.00000000e+00,2.98750000e+02,8.99045000e+04,8.28771175e+09
-584.0,5.00000000e+00,2.87200000e+02,8.33392000e+04,7.19736669e+09
-580.0,1.00000000e+01,2.96600000e+02,8.83868000e+04,7.94711491e+09
-576.0,1.40000000e+01,2.81000000e+02,8.05717143e+04,6.91461810e+09
-572.0,2.40000000e+01,2.76000000e+02,7.79086667e+04,6.42096379e+09
-568.0,3.60000000e+01,2.76111111e+02,7.75246667e+04,6.32226810e+09
-564.0,2.80000000e+01,2.77928571e+02,7.84012857e+04,6.44118053e+09
-560.0,5.60000000e+01,2.55607143e+02,6.92229286e+04,5.34381694e+09
-556.0,5.80000000e+01,2.65034483e+02,7.28245517e+04,5.76920238e+09
-552.0,7.40000000e+01,2.53837838e+02,6.71427027e+04,5.01151988e+09
-548.0,9.40000000e+01,2.53617021e+02,6.77112340e+04,5.20382141e+09
-544.0,9.90000000e+01,2.48101010e+02,6.38734141e+04,4.52474673e+09
-540.0,1.41000000e+02,2.39886525e+02,6.12920284e+04,4.28189765e+09
-536.0,1.89000000e+02,2.42507937e+02,6.20010370e+04,4.35590950e+09
-532.0,2.20000000e+02,2.35036364e+02,5.87224727e+04,3.95379630e+09
-528.0,2.91000000e+02,2.25560137e+02,5.45790653e+04,3.48861610e+09
-524.0,3.17000000e+02,2.27627760e+02,5.50130599e+04,3.48703618e+09
-520.0,4.38000000e+02,2.12803653e+02,4.99438356e+04,3.06992962e+09
-516.0,5.47000000e+02,2.13389397e+02,4.96938062e+04,2.98054583e+09
-512.0,7.04000000e+02,2.01150568e+02,4.54290511e+04,2.63933249e+09
