T,2.7,Nsite,400
-508.0,8.12000000e+02,1.99798030e+02,4.42099704e+04,2.47459467e+09
-504.0,1.03400000e+03,1.86628627e+02,4.00103327e+04,2.13567602e+09
-500.0,1.32500000e+03,1.82851321e+02,3.85630038e+04,2.00173931e+09
-496.0,1.54600000e+03,1.78222510e+02,3.66534489e+04,1.81356093e+09
-492.0,1.89300000e+03,1.70376123e+02,3.40762831e+04,1.62547676e+09
-488.0,2.29800000e+03,1.65338555e+02,3.27135805e+04,1.56416169e+09
-484.0,2.73700000e+03,1.58669346e+02,3.04444677e+04,1.38600397e+09
-480.0,3.42800000e+03,1.53130105e+02,2.84419498e+04,1.22218432e+09
-476.0,4.08200000e+03,1.48934836e+02,2.72644076e+04,1.15139605e+09
-472.0,4.71100000e+03,1.44714923e+02,2.59350915e+04,1.05819977e+09
-468.0,5.76300000e+03,1.40534791e+02,2.46868929e+04,9.74012535e+08
-464.0,6.65100000e+03,1.34726808e+02,2.30552891e+04,8.75726436e+08
-460.0,7.80300000e+03,1.30887095e+02,2.19225108e+04,8.04745800e+08
-456.0,9.21600000e+03,1.25959418e+02,2.05461497e+04,7.26103624e+08
-452.0,1.05670000e+04,1.21800890e+02,1.93062928e+04,6.49375895e+08
-448.0,1.20970000e+04,1.18489708e+02,1.84615634e+04,6.10037501e+08
-444.0,1.40610000e+04,1.14350188e+02,1.73454733e+04,5.51031339e+08
-440.0,1.57300000e+04,1.10457216e+02,1.63686464e+04,5.00840367e+08
-436.0,1.75570000e+04,1.07608703e+02,1.55381131e+04,4.54115547e+08
-432.0,1.96020000e+04,1.04519335e+02,1.47425095e+04,4.13378316e+08
-428.0,2.16460000e+04,1.00685577e+02,1.38272427e+04,3.71874867e+08
-424.0,2.36880000e+04,9.77994765e+01,1.30860849e+04,3.37515917e+08
-420.0,2.56820000e+04,9.46166965e+01,1.23551270e+04,3.06966691e+08
-416.0,2.79420000e+04,9.22721351e+01,1.17711657e+04,2.80432587e+08
-412.0,2.99150000e+04,8.93052315e+01,1.11186266e+04,2.54990077e+08
-408.0,3.18110000e+04,8.71413662e+01,1.05860030e+04,2.32926435e+08
-404.0,3.33920000e+04,8.41560254e+01,1.00072016e+04,2.14130701e+08
-400.0,3.50660000e+04,8.22847773e+01,9.57906793e+03,1.96870621e+08
-396.0,3.61740000e+04,8.01891414e+01,9.11731796e+03,1.79273834e+08
-392.0,3.73710000e+04,7.77255091e+01,8.61004651e+03,1.62253981e+08
-388.0,3.78320000e+04,7.57008881e+01,8.21963333e+03,1.50380766e+08
-384.0,3.78710000e+04,7.38179610e+01,7.85715930e+03,1.39429652e+08
-380.0,3.80580000e+04,7.21337432e+01,7.51023144e+03,1.27667219e+08
-376.0,3.78380000e+04,7.03307786e+01,7.14441588e+03,1.16767013e+08
-372.0,3.71150000e+04,6.86482554e+01,6.84491833e+03,1.08512780e+08
-368.0,3.57980000e+04,6.71045868e+01,6.55546801e+03,1.00180046e+08
-364.0,3.44320000e+04,6.54325046e+01,6.26037941e+03,9.24390405e+07
-360.0,3.24950000e+04,6.37544853e+01,5.95505585e+03,8.42172289e+07
-356.0,3.10710000e+04,6.26795404e+01,5.75727205e+03,7.87146937e+07
-352.0,2.90660000e+04,6.06899470e+01,5.44549604e+03,7.22108819e+07
-348.0,2.68950000e+04,5.93245585e+01,5.19068898e+03,6.55960827e+07
-344.0,2.44290000e+04,5.81648860e+01,5.01929657e+03,6.17163154e+07
-340.0,2.22320000e+04,5.75362540e+01,4.91205739e+03,5.91899864e+07
-336.0,1.98410000e+04,5.55758278e+01,4.60742342e+03,5.29070820e+07
-332.0,1.75510000e+04,5.38675859e+01,4.35401037e+03,4.81203807e+07
-328.0,1.52960000e+04,5.31766475e+01,4.22747620e+03,4.51968191e+07
-324.0,1.32870000e+04,5.26796117e+01,4.17030210e+03,4.44458378e+07
-320.0,1.13070000e+04,5.14184134e+01,3.97972017e+03,4.06345675e+07
-316.0,9.76000000e+03,4.97469262e+01,3.75376598e+03,3.69843513e+07
-312.0,8.09700000e+03,4.88840311e+01,3.61638582e+03,3.46146374e+07
-308.0,6.54700000e+03,4.73954483e+01,3.40120666e+03,3.08382442e+07
-304.0,5.46900000e+03,4.73329676e+01,3.39007497e+03,3.06952879e+07
-300.0,4.28700000e+03,4.62813156e+01,3.23962864e+03,2.71799449e+07
-296.0,3.45200000e+03,4.50040556e+01,3.07374623e+03,2.43960358e+07
-292.0,2.70000000e+03,4.20244444e+01,2.73446963e+03,2.03182399e+07
-288.0,2.19300000e+03,4.20930233e+01,2.71687916e+03,2.00907558e+07
-284.0,1.64900000e+03,4.34008490e+01,2.82024985e+03,1.97923117e+07
-280.0,1.22800000e+03,4.35830619e+01,2.86785016e+03,2.22247066e+07
-276.0,9.22000000e+02,4.15119306e+01,2.57993492e+03,1.72948948e+07
-272.0,6.93000000e+02,3.91688312e+01,2.37044733e+03,1.59985500e+07
-268.0,4.82000000e+02,4.15601660e+01,2.59741079e+03,1.79244573e+07
-264.0,3.85000000e+02,3.95012987e+01,2.30202597e+03,1.31624529e+07
-260.0,2.40000000e+02,3.94083333e+01,2.40265000e+03,1.53786306e+07
-256.0,1.73000000e+02,4.08554913e+01,2.51995376e+03,1.53960031e+07
-252.0,9.00000000e+01,3.47333333e+01,1.72786667e+03,7.01154507e+06
-248.0,8.90000000e+01,4.54382022e+01,2.79505618e+03,1.59668182e+07
-244.0,5.50000000e+01,4.64727273e+01,2.95636364e+03,1.77369548e+07
-240.0,2.90000000e+01,3.76551724e+01,2.17075862e+03,9.49143724e+06
-236.0,1.40000000e+01,5.68571429e+01,4.28514286e+03,2.92834811e+07
-232.0,1.40000000e+01,5.28571429e+01,3.16800000e+03,1.36997211e+07
-228.0,9.00000000e+00,5.91111111e+01,3.85422222e+03,1.91965369e+07
-224.0,9.00000000e+00,4.88888889e+01,3.11644444e+03,1.56839324e+07
-220.0,1.00000000e+00,5.00000000e+01,2.50000000e+03,6.25000000e+06
-216.0,2.00000000e+00,2.50000000e+01,7.06000000e+02,7.00936000e+05
-212.0,1.00000000e+00,2.60000000e+01,6.76000000e+02,4.56976000e+05
-204.0,3.00000000e+00,2.06666667e+01,5.08000000e+02,3.58576000e+05
-200.0,1.00000000e+00,1.60000000e+01,2.56000000e+02,6.55360000e+04
-196.0,1.00000000e+00,2.00000000e+01,4.00000000e+02,1.60000000e+05
-188.0,2.00000000e+00,2.30000000e+01,6.98000000e+02,8.44808000e+05
-180.0,1.00000000e+00,2.60000000e+01,6.76000000e+02,4.56976000e+05
-172.0,1.00000000e+00,4.40000000e+01,1.93600000e+03,3.74809600e+06
-164.0,1.00000000e+00,1.20000000e+01,1.44000000e+02,2.07360000e+04
-160.0,4.00000000e+00,2.60000000e+01,6.90000000e+02,5.17896000e+05
-152.0,2.00000000e+00,1.80000000e+01,3.28000000e+02,1.12768000e+05
