T,m,chi,E,Cv,dm/dbeta,binder,dbinder/dbeta
1.573,7.32869869e-01,6.43878782e+04,-1.55527955e+00,8.47615543e-02,-2.28219141e+01,6.62322632e-01,-5.07411247e-02
1.574,7.32894198e-01,6.41548604e+04,-1.55519659e+00,8.11970739e-02,-2.53435066e+01,6.62342163e-01,-4.60250978e-02
1.575,7.32920966e-01,6.39454553e+04,-1.55511708e+00,7.78622488e-02,-2.77222375e+01,6.62359826e-01,-4.15951602e-02
1.576,7.32950029e-01,6.37581658e+04,-1.55504079e+00,7.47424628e-02,-2.99670493e+01,6.62375737e-01,-3.74339962e-02
1.577,7.32981248e-01,6.35915903e+04,-1.55496752e+00,7.18240391e-02,-3.20863200e+01,6.62390005e-01,-3.35253008e-02
1.578,7.33014497e-01,6.34444161e+04,-1.55489708e+00,6.90941801e-02,-3.40878988e+01,6.62402731e-01,-2.98537276e-02
1.579,7.33049657e-01,6.33154146e+04,-1.55482928e+00,6.65409107e-02,-3.59791392e+01,6.62414014e-01,-2.64048372e-02
1.580,7.33086615e-01,6.32034351e+04,-1.55476394e+00,6.41530259e-02,-3.77669299e+01,6.62423942e-01,-2.31650489e-02
1.581,7.33125266e-01,6.31074006e+04,-1.55470092e+00,6.19200412e-02,-3.94577247e+01,6.62432600e-01,-2.01215934e-02
1.582,7.33165512e-01,6.30263024e+04,-1.55464005e+00,5.98321463e-02,-4.10575694e+01,6.62440067e-01,-1.72624678e-02
1.583,7.33207262e-01,6.29591962e+04,-1.55458121e+00,5.78801613e-02,-4.25721282e+01,6.62446419e-01,-1.45763925e-02
1.584,7.33250429e-01,6.29051980e+04,-1.55452425e+00,5.60554964e-02,-4.40067073e+01,6.62451723e-01,-1.20527701e-02
1.585,7.33294932e-01,6.28634796e+04,-1.55446906e+00,5.43501137e-02,-4.53662779e+01,6.62456047e-01,-9.68164669e-03
1.586,7.33340695e-01,6.28332660e+04,-1.55441551e+00,5.27564912e-02,-4.66554973e+01,6.62459451e-01,-7.45367379e-03
1.587,7.33387649e-01,6.28138312e+04,-1.55436351e+00,5.12675902e-02,-4.78787292e+01,6.62461992e-01,-5.36007371e-03
1.588,7.33435725e-01,6.28044954e+04,-1.55431295e+00,4.98768233e-02,-4.90400617e+01,6.62463725e-01,-3.39260570e-03
1.589,7.33484863e-01,6.28046218e+04,-1.55426373e+00,4.85780254e-02,-5.01433254e+01,6.62464699e-01,-1.54353424e-03
1.590,7.33535003e-01,6.28136143e+04,-1.55421576e+00,4.73654267e-02,-5.11921095e+01,6.62464963e-01,1.94401038e-04
1.591,7.33586091e-01,6.28309144e+04,-1.55416897e+00,4.62336266e-02,-5.21897771e+01,6.62464560e-01,1.82801379e-03
1.592,7.33638076e-01,6.28559990e+04,-1.55412327e+00,4.51775703e-02,-5.31394797e+01,6.62463532e-01,3.36369789e-03
1.593,7.33690910e-01,6.28883780e+04,-1.55407859e+00,4.41925261e-02,-5.40441706e+01,6.62461918e-01,4.80745271e-03
1.594,7.33744546e-01,6.29275925e+04,-1.55403486e+00,4.32740646e-02,-5.49066175e+01,6.62459755e-01,6.16490714e-03
1.595,7.33798944e-01,6.29732123e+04,-1.55399202e+00,4.24180391e-02,-5.57294144e+01,6.62457076e-01,7.44134204e-03
1.596,7.33854064e-01,6.30248347e+04,-1.55395001e+00,4.16205673e-02,-5.65149922e+01,6.62453915e-01,8.64171165e-03
1.597,7.33909867e-01,6.30820819e+04,-1.55390876e+00,4.08780145e-02,-5.72656297e+01,6.62450301e-01,9.77066350e-03
1.598,7.33966320e-01,6.31446002e+04,-1.55386823e+00,4.01869772e-02,-5.79834627e+01,6.62446262e-01,1.08325573e-02
1.599,7.34023389e-01,6.32120581e+04,-1.55382837e+00,3.95442684e-02,-5.86704935e+01,6.62441825e-01,1.18314825e-02
1.600,7.34081044e-01,6.32841448e+04,-1.55378913e+00,3.89469034e-02,-5.93285990e+01,6.62437015e-01,1.27712754e-02
1.601,7.34139256e-01,6.33605689e+04,-1.55375046e+00,3.83920872e-02,-5.99595390e+01,6.62431855e-01,1.36555344e-02
1.602,7.34197998e-01,6.34410576e+04,-1.55371233e+00,3.78772019e-02,-6.05649631e+01,6.62426367e-01,1.44876348e-02
1.603,7.34257244e-01,6.35253547e+04,-1.55367470e+00,3.73997954e-02,-6.11464182e+01,6.62420571e-01,1.52707427e-02
1.604,7.34316970e-01,6.36132202e+04,-1.55363752e+00,3.69575706e-02,-6.17053549e+01,6.62414488e-01,1.60078281e-02
1.605,7.34377154e-01,6.37044291e+04,-1.55360077e+00,3.65483757e-02,-6.22431332e+01,6.62408133e-01,1.67016770e-02
1.606,7.34437775e-01,6.37987704e+04,-1.55356441e+00,3.61701949e-02,-6.27610285e+01,6.62401526e-01,1.73549028e-02
1.607,7.34498814e-01,6.38960460e+04,-1.55352842e+00,3.58211391e-02,-6.32602372e+01,6.62394681e-01,1.79699570e-02
1.608,7.34560251e-01,6.39960703e+04,-1.55349276e+00,3.54994385e-02,-6.37418812e+01,6.62387614e-01,1.85491396e-02
1.609,7.34622068e-01,6.40986691e+04,-1.55345741e+00,3.52034345e-02,-6.42070126e+01,6.62380338e-01,1.90946081e-02
1.610,7.34684251e-01,6.42036791e+04,-1.55342235e+00,3.49315728e-02,-6.46566185e+01,6.62372867e-01,1.96083870e-02
1.611,7.34746782e-01,6.43109467e+04,-1.55338754e+00,3.46823966e-02,-6.50916249e+01,6.62365213e-01,2.00923753e-02
1.612,7.34809648e-01,6.44203283e+04,-1.55335298e+00,3.44545406e-02,-6.55129002e+01,6.62357387e-01,2.05483551e-02
1.613,7.34872834e-01,6.45316887e+04,-1.55331863e+00,3.42467246e-02,-6.59212593e+01,6.62349401e-01,2.09779983e-02
1.614,7.34936329e-01,6.46449012e+04,-1.55328448e+00,3.40577489e-02,-6.63174666e+01,6.62341264e-01,2.13828741e-02
1.615,7.35000120e-01,6.47598467e+04,-1.55325051e+00,3.38864885e-02,-6.67022395e+01,6.62332987e-01,2.17644546e-02
1.616,7.35064194e-01,6.48764136e+04,-1.55321670e+00,3.37318888e-02,-6.70762508e+01,6.62324578e-01,2.21241219e-02
1.617,7.35128543e-01,6.49944970e+04,-1.55318304e+00,3.35929608e-02,-6.74401320e+01,6.62316046e-01,2.24631726e-02
1.618,7.35193155e-01,6.51139983e+04,-1.55314951e+00,3.34687770e-02,-6.77944757e+01,6.62307399e-01,2.27828239e-02
1.619,7.35258021e-01,6.52348250e+04,-1.55311609e+00,3.33584677e-02,-6.81398379e+01,6.62298643e-01,2.30842184e-02
1.620,7.35323132e-01,6.53568902e+04,-1.55308279e+00,3.32612172e-02,-6.84767404e+01,6.62289787e-01,2.33684286e-02
1.621,7.35388480e-01,6.54801122e+04,-1.55304957e+00,3.31762604e-02,-6.88056728e+01,6.62280837e-01,2.36364614e-02
1.622,7.35454057e-01,6.56044144e+04,-1.55301643e+00,3.31028797e-02,-6.91270946e+01,6.62271798e-01,2.38892620e-02
1.623,7.35519854e-01,6.57297246e+04,-1.55298336e+00,3.30404019e-02,-6.94414372e+01,6.62262678e-01,2.41277180e-02
1.624,7.35585865e-01,6.58559750e+04,-1.55295034e+00,3.29881953e-02,-6.97491051e+01,6.62253481e-01,2.43526630e-02
1.625,7.35652084e-01,6.59831020e+04,-1.55291738e+00,3.29456674e-02,-7.00504784e+01,6.62244212e-01,2.45648794e-02
1.626,7.35718503e-01,6.61110457e+04,-1.55288445e+00,3.29122622e-02,-7.03459135e+01,6.62234877e-01,2.47651025e-02
1.627,7.35785117e-01,6.62397497e+04,-1.55285155e+00,3.28874578e-02,-7.06357448e+01,6.62225480e-01,2.49540225e-02
1.628,7.35851921e-01,6.63691611e+04,-1.55281867e+00,3.28707649e-02,-7.09202865e+01,6.62216025e-01,2.51322882e-02
1.629,7.35918908e-01,6.64992302e+04,-1.55278581e+00,3.28617240e-02,-7.11998332e+01,6.62206516e-01,2.53005086e-02
1.630,7.35986074e-01,6.66299100e+04,-1.55275295e+00,3.28599038e-02,-7.14746613e+01,6.62196958e-01,2.54592561e-02
1.631,7.36053414e-01,6.67611566e+04,-1.55272008e+00,3.28648996e-02,-7.17450303e+01,6.62187353e-01,2.56090687e-02
1.632,7.36120924e-01,6.68929283e+04,-1.55268721e+00,3.28763317e-02,-7.20111839e+01,6.62177705e-01,2.57504518e-02
1.633,7.36188598e-01,6.70251863e+04,-1.55265433e+00,3.28938434e-02,-7.22733503e+01,6.62168017e-01,2.58838802e-02
1.634,7.36256434e-01,6.71578938e+04,-1.55262143e+00,3.29171001e-02,-7.25317439e+01,6.62158293e-01,2.60098006e-02
1.635,7.36324426e-01,6.72910162e+04,-1.55258849e+00,3.29457875e-02,-7.27865658e+01,6.62148535e-01,2.61286325e-02
1.636,7.36392572e-01,6.74245210e+04,-1.55255553e+00,3.29796109e-02,-7.30380047e+01,6.62138746e-01,2.62407706e-02
1.637,7.36460869e-01,6.75583775e+04,-1.55252253e+00,3.30182931e-02,-7.32862374e+01,6.62128927e-01,2.63465857e-02
1.638,7.36529311e-01,6.76925569e+04,-1.55248949e+00,3.30615744e-02,-7.35314298e+01,6.62119083e-01,2.64464269e-02
1.639,7.36597897e-01,6.78270320e+04,-1.55245641e+00,3.31092108e-02,-7.37737375e+01,6.62109214e-01,2.65406223e-02
1.640,7.36666624e-01,6.79617772e+04,-1.55242327e+00,3.31609729e-02,-7.40133064e+01,6.62099324e-01,2.66294804e-02
1.641,7.36735488e-01,6.80967683e+04,-1.55239009e+00,3.32166459e-02,-7.42502730e+01,6.62089413e-01,2.67132917e-02
1.642,7.36804487e-01,6.82319828e+04,-1.55235684e+00,3.32760278e-02,-7.44847655e+01,6.62079485e-01,2.67923295e-02
1.643,7.36873618e-01,6.83673991e+04,-1.55232353e+00,3.33389290e-02,-7.47169038e+01,6.62069539e-01,2.68668508e-02
1.644,7.36942879e-01,6.85029971e+04,-1.55229016e+00,3.34051715e-02,-7.49468003e+01,6.62059580e-01,2.69370977e-02
1.645,7.37012267e-01,6.86387578e+04,-1.55225672e+00,3.34745883e-02,-7.51745601e+01,6.62049607e-01,2.70032981e-02
1.646,7.37081781e-01,6.87746633e+04,-1.55222321e+00,3.35470225e-02,-7.54002818e+01,6.62039622e-01,2.70656666e-02
1.647,7.37151417e-01,6.89106966e+04,-1.55218963e+00,3.36223271e-02,-7.56240574e+01,6.62029627e-01,2.71244051e-02
1.648,7.37221173e-01,6.90468420e+04,-1.55215596e+00,3.37003638e-02,-7.58459730e+01,6.62019624e-01,2.71797042e-02
1.649,7.37291049e-01,6.91830845e+04,-1.55212222e+00,3.37810030e-02,-7.60661090e+01,6.62009613e-01,2.72317431e-02
1.650,7.37361041e-01,6.93194098e+04,-1.55208840e+00,3.38641232e-02,-7.62845406e+01,6.61999595e-01,2.72806910e-02
1.651,7.37431149e-01,6.94558046e+04,-1.55205450e+00,3.39496101e-02,-7.65013380e+01,6.61989572e-01,2.73267072e-02
1.652,7.37501369e-01,6.95922565e+04,-1.55202050e+00,3.40373567e-02,-7.67165665e+01,6.61979545e-01,2.73699420e-02
1.653,7.37571701e-01,6.97287537e+04,-1.55198642e+00,3.41272627e-02,-7.69302872e+01,6.61969515e-01,2.74105372e-02
1.654,7.37642142e-01,6.98652849e+04,-1.55195225e+00,3.42192339e-02,-7.71425568e+01,6.61959482e-01,2.74486266e-02
1.655,7.37712692e-01,7.00018398e+04,-1.55191798e+00,3.43131821e-02,-7.73534280e+01,6.61949448e-01,2.74843364e-02
1.656,7.37783348e-01,7.01384084e+04,-1.55188362e+00,3.44090247e-02,-7.75629500e+01,6.61939414e-01,2.75177860e-02
1.657,7.37854109e-01,7.02749814e+04,-1.55184916e+00,3.45066841e-02,-7.77711682e+01,6.61929379e-01,2.75490879e-02
1.658,7.37924973e-01,7.04115502e+04,-1.55181461e+00,3.46060879e-02,-7.79781248e+01,6.61919346e-01,2.75783486e-02
1.659,7.37995940e-01,7.05481065e+04,-1.55177995e+00,3.47071682e-02,-7.81838587e+01,6.61909315e-01,2.76056688e-02
1.660,7.38067008e-01,7.06846426e+04,-1.55174519e+00,3.48098615e-02,-7.83884060e+01,6.61899286e-01,2.76311438e-02
1.661,7.38138175e-01,7.08211512e+04,-1.55171033e+00,3.49141084e-02,-7.85917999e+01,6.61889261e-01,2.76548637e-02
1.662,7.38209439e-01,7.09576256e+04,-1.55167536e+00,3.50198535e-02,-7.87940708e+01,6.61879239e-01,2.76769138e-02
1.663,7.38280801e-01,7.10940593e+04,-1.55164029e+00,3.51270448e-02,-7.89952466e+01,6.61869222e-01,2.76973751e-02
1.664,7.38352258e-01,7.12304464e+04,-1.55160511e+00,3.52356341e-02,-7.91953528e+01,6.61859209e-01,2.77163244e-02
1.665,7.38423809e-01,7.13667814e+04,-1.55156982e+00,3.53455763e-02,-7.93944127e+01,6.61849202e-01,2.77338344e-02
1.666,7.38495454e-01,7.15030588e+04,-1.55153442e+00,3.54568296e-02,-7.95924472e+01,6.61839201e-01,2.77499743e-02
1.667,7.38567190e-01,7.16392740e+04,-1.55149890e+00,3.55693548e-02,-7.97894752e+01,6.61829206e-01,2.77648099e-02
1.668,7.38639017e-01,7.17754224e+04,-1.55146328e+00,3.56831157e-02,-7.99855138e+01,6.61819218e-01,2.77784038e-02
1.669,7.38710934e-01,7.19114998e+04,-1.55142754e+00,3.57980788e-02,-8.01805780e+01,6.61809238e-01,2.77908156e-02
1.670,7.38782939e-01,7.20475023e+04,-1.55139168e+00,3.59142129e-02,-8.03746811e+01,6.61799265e-01,2.78021022e-02
1.671,7.38855031e-01,7.21834262e+04,-1.55135571e+00,3.60314893e-02,-8.05678346e+01,6.61789300e-01,2.78123177e-02
1.672,7.38927209e-01,7.23192684e+04,-1.55131962e+00,3.61498814e-02,-8.07600483e+01,6.61779344e-01,2.78215141e-02
1.673,7.38999473e-01,7.24550257e+04,-1.55128341e+00,3.62693650e-02,-8.09513307e+01,6.61769396e-01,2.78297409e-02
1.674,7.39071820e-01,7.25906955e+04,-1.55124708e+00,3.63899178e-02,-8.11416884e+01,6.61759458e-01,2.78370458e-02
1.675,7.39144250e-01,7.27262752e+04,-1.55121063e+00,3.65115192e-02,-8.13311268e+01,6.61749529e-01,2.78434744e-02
1.676,7.39216763e-01,7.28617626e+04,-1.55117405e+00,3.66341509e-02,-8.15196499e+01,6.61739610e-01,2.78490706e-02
1.677,7.39289356e-01,7.29971557e+04,-1.55113736e+00,3.67577960e-02,-8.17072601e+01,6.61729701e-01,2.78538766e-02
1.678,7.39362028e-01,7.31324527e+04,-1.55110054e+00,3.68824395e-02,-8.18939587e+01,6.61719802e-01,2.78579333e-02
1.679,7.39434780e-01,7.32676522e+04,-1.55106359e+00,3.70080678e-02,-8.20797457e+01,6.61709913e-01,2.78612800e-02
1.680,7.39507609e-01,7.34027529e+04,-1.55102652e+00,3.71346692e-02,-8.22646197e+01,6.61700035e-01,2.78639549e-02
1.681,7.39580515e-01,7.35377538e+04,-1.55098932e+00,3.72622331e-02,-8.24485784e+01,6.61690168e-01,2.78659951e-02
1.682,7.39653496e-01,7.36726540e+04,-1.55095200e+00,3.73907506e-02,-8.26316181e+01,6.61680312e-01,2.78674365e-02
1.683,7.39726552e-01,7.38074529e+04,-1.55091454e+00,3.75202141e-02,-8.28137339e+01,6.61670468e-01,2.78683142e-02
1.684,7.39799681e-01,7.39421502e+04,-1.55087696e+00,3.76506173e-02,-8.29949199e+01,6.61660635e-01,2.78686626e-02
1.685,7.39872883e-01,7.40767457e+04,-1.55083924e+00,3.77819553e-02,-8.31751691e+01,6.61650813e-01,2.78685151e-02
1.686,7.39946156e-01,7.42112396e+04,-1.55080139e+00,3.79142243e-02,-8.33544734e+01,6.61641004e-01,2.78679047e-02
1.687,7.40019499e-01,7.43456320e+04,-1.55076341e+00,3.80474219e-02,-8.35328235e+01,6.61631206e-01,2.78668639e-02
1.688,7.40092912e-01,7.44799235e+04,-1.55072530e+00,3.81815467e-02,-8.37102092e+01,6.61621420e-01,2.78654245e-02
1.689,7.40166393e-01,7.46141149e+04,-1.55068705e+00,3.83165986e-02,-8.38866193e+01,6.61611647e-01,2.78636182e-02
1.690,7.40239941e-01,7.47482071e+04,-1.55064866e+00,3.84525786e-02,-8.40620412e+01,6.61601886e-01,2.78614763e-02
1.691,7.40313555e-01,7.48822013e+04,-1.55061014e+00,3.85894888e-02,-8.42364616e+01,6.61592137e-01,2.78590299e-02
1.692,7.40387234e-01,7.50160989e+04,-1.55057148e+00,3.87273324e-02,-8.44098659e+01,6.61582400e-01,2.78563100e-02
1.693,7.40460976e-01,7.51499015e+04,-1.55053269e+00,3.88661137e-02,-8.45822388e+01,6.61572676e-01,2.78533476e-02
1.694,7.40534782e-01,7.52836110e+04,-1.55049375e+00,3.90058381e-02,-8.47535636e+01,6.61562965e-01,2.78501737e-02
1.695,7.40608649e-01,7.54172296e+04,-1.55045468e+00,3.91465119e-02,-8.49238226e+01,6.61553266e-01,2.78468194e-02
1.696,7.40682577e-01,7.55507596e+04,-1.55041546e+00,3.92881428e-02,-8.50929972e+01,6.61543580e-01,2.78433160e-02
1.697,7.40756564e-01,7.56842036e+04,-1.55037610e+00,3.94307392e-02,-8.52610675e+01,6.61533906e-01,2.78396950e-02
1.698,7.40830609e-01,7.58175644e+04,-1.55033660e+00,3.95743106e-02,-8.54280127e+01,6.61524246e-01,2.78359884e-02
1.699,7.40904711e-01,7.59508452e+04,-1.55029695e+00,3.97188679e-02,-8.55938106e+01,6.61514597e-01,2.78322284e-02
1.700,7.40978869e-01,7.60840493e+04,-1.55025716e+00,3.98644226e-02,-8.57584382e+01,6.61504962e-01,2.78284477e-02
1.701,7.41053082e-01,7.62171804e+04,-1.55021722e+00,4.00109875e-02,-8.59218711e+01,6.61495339e-01,2.78246798e-02
1.702,7.41127348e-01,7.63502425e+04,-1.55017714e+00,4.01585765e-02,-8.60840839e+01,6.61485729e-01,2.78209584e-02
1.703,7.41201666e-01,7.64832398e+04,-1.55013690e+00,4.03072045e-02,-8.62450497e+01,6.61476131e-01,2.78173183e-02
1.704,7.41276035e-01,7.66161767e+04,-1.55009652e+00,4.04568874e-02,-8.64047407e+01,6.61466546e-01,2.78137947e-02
1.705,7.41350454e-01,7.67490581e+04,-1.55005599e+00,4.06076425e-02,-8.65631276e+01,6.61456973e-01,2.78104239e-02
1.706,7.41424921e-01,7.68818892e+04,-1.55001531e+00,4.07594880e-02,-8.67201798e+01,6.61447412e-01,2.78072431e-02
1.707,7.41499435e-01,7.70146754e+04,-1.54997447e+00,4.09124434e-02,-8.68758655e+01,6.61437864e-01,2.78042903e-02
1.708,7.41573994e-01,7.71474225e+04,-1.54993348e+00,4.10665292e-02,-8.70301513e+01,6.61428328e-01,2.78016048e-02
1.709,7.41648598e-01,7.72801367e+04,-1.54989234e+00,4.12217673e-02,-8.71830026e+01,6.61418804e-01,2.77992268e-02
1.710,7.41723245e-01,7.74128246e+04,-1.54985104e+00,4.13781808e-02,-8.73343832e+01,6.61409292e-01,2.77971980e-02
1.711,7.41797933e-01,7.75454930e+04,-1.54980958e+00,4.15357938e-02,-8.74842553e+01,6.61399791e-01,2.77955612e-02
1.712,7.41872661e-01,7.76781491e+04,-1.54976796e+00,4.16946322e-02,-8.76325796e+01,6.61390303e-01,2.77943606e-02
1.713,7.41947428e-01,7.78108008e+04,-1.54972619e+00,4.18547227e-02,-8.77793152e+01,6.61380825e-01,2.77936421e-02
1.714,7.42022232e-01,7.79434562e+04,-1.54968425e+00,4.20160937e-02,-8.79244195e+01,6.61371359e-01,2.77934529e-02
1.715,7.42097071e-01,7.80761237e+04,-1.54964216e+00,4.21787750e-02,-8.80678482e+01,6.61361904e-01,2.77938421e-02
1.716,7.42171944e-01,7.82088123e+04,-1.54959990e+00,4.23427977e-02,-8.82095549e+01,6.61352459e-01,2.77948603e-02
1.717,7.42246850e-01,7.83415317e+04,-1.54955747e+00,4.25081945e-02,-8.83494917e+01,6.61343026e-01,2.77965601e-02
1.718,7.42321786e-01,7.84742916e+04,-1.54951488e+00,4.26749998e-02,-8.84876084e+01,6.61333602e-01,2.77989962e-02
1.719,7.42396751e-01,7.86071027e+04,-1.54947212e+00,4.28432493e-02,-8.86238531e+01,6.61324188e-01,2.78022251e-02
1.720,7.42471743e-01,7.87399759e+04,-1.54942919e+00,4.30129806e-02,-8.87581716e+01,6.61314785e-01,2.78063055e-02
1.721,7.42546760e-01,7.88729227e+04,-1.54938609e+00,4.31842329e-02,-8.88905074e+01,6.61305390e-01,2.78112986e-02
1.722,7.42621802e-01,7.90059554e+04,-1.54934282e+00,4.33570472e-02,-8.90208020e+01,6.61296005e-01,2.78172677e-02
1.723,7.42696865e-01,7.91390866e+04,-1.54929938e+00,4.35314664e-02,-8.91489942e+01,6.61286628e-01,2.78242788e-02
1.724,7.42771948e-01,7.92723297e+04,-1.54925576e+00,4.37075354e-02,-8.92750206e+01,6.61277260e-01,2.78324006e-02
1.725,7.42847049e-01,7.94056986e+04,-1.54921196e+00,4.38853007e-02,-8.93988151e+01,6.61267899e-01,2.78417043e-02
1.726,7.42922166e-01,7.95392082e+04,-1.54916799e+00,4.40648114e-02,-8.95203090e+01,6.61258546e-01,2.78522643e-02
1.727,7.42997296e-01,7.96728736e+04,-1.54912383e+00,4.42461183e-02,-8.96394307e+01,6.61249201e-01,2.78641577e-02
1.728,7.43072439e-01,7.98067111e+04,-1.54907950e+00,4.44292746e-02,-8.97561058e+01,6.61239861e-01,2.78774651e-02
1.729,7.43147591e-01,7.99407376e+04,-1.54903497e+00,4.46143358e-02,-8.98702568e+01,6.61230528e-01,2.78922703e-02
1.730,7.43222751e-01,8.00749706e+04,-1.54899027e+00,4.48013598e-02,-8.99818032e+01,6.61221201e-01,2.79086605e-02
1.731,7.43297916e-01,8.02094287e+04,-1.54894537e+00,4.49904069e-02,-9.00906611e+01,6.61211878e-01,2.79267267e-02
1.732,7.43373084e-01,8.03441313e+04,-1.54890029e+00,4.51815401e-02,-9.01967431e+01,6.61202560e-01,2.79465636e-02
1.733,7.43448252e-01,8.04790986e+04,-1.54885501e+00,4.53748251e-02,-9.02999585e+01,6.61193246e-01,2.79682698e-02
1.734,7.43523418e-01,8.06143517e+04,-1.54880954e+00,4.55703302e-02,-9.04002127e+01,6.61183935e-01,2.79919485e-02
1.735,7.43598580e-01,8.07499130e+04,-1.54876387e+00,4.57681267e-02,-9.04974072e+01,6.61174626e-01,2.80177066e-02
1.736,7.43673734e-01,8.08858055e+04,-1.54871800e+00,4.59682892e-02,-9.05914396e+01,6.61165319e-01,2.80456561e-02
1.737,7.43748878e-01,8.10220536e+04,-1.54867193e+00,4.61708949e-02,-9.06822032e+01,6.61156014e-01,2.80759136e-02
1.738,7.43824010e-01,8.11586825e+04,-1.54862566e+00,4.63760248e-02,-9.07695871e+01,6.61146708e-01,2.81086005e-02
1.739,7.43899126e-01,8.12957189e+04,-1.54857918e+00,4.65837630e-02,-9.08534756e+01,6.61137402e-01,2.81438437e-02
1.740,7.43974224e-01,8.14331904e+04,-1.54853249e+00,4.67941970e-02,-9.09337483e+01,6.61128095e-01,2.81817752e-02
1.741,7.44049300e-01,8.15711260e+04,-1.54848559e+00,4.70074185e-02,-9.10102800e+01,6.61118786e-01,2.82225329e-02
1.742,7.44124351e-01,8.17095560e+04,-1.54843847e+00,4.72235225e-02,-9.10829402e+01,6.61109473e-01,2.82662606e-02
1.743,7.44199374e-01,8.18485121e+04,-1.54839114e+00,4.74426082e-02,-9.11515930e+01,6.61100156e-01,2.83131082e-02
1.744,7.44274367e-01,8.19880272e+04,-1.54834359e+00,4.76647790e-02,-9.12160969e+01,6.61090833e-01,2.83632321e-02
1.745,7.44349324e-01,8.21281360e+04,-1.54829581e+00,4.78901426e-02,-9.12763045e+01,6.61081505e-01,2.84167954e-02
1.746,7.44424243e-01,8.22688746e+04,-1.54824780e+00,4.81188110e-02,-9.13320624e+01,6.61072169e-01,2.84739682e-02
1.747,7.44499120e-01,8.24102807e+04,-1.54819957e+00,4.83509011e-02,-9.13832107e+01,6.61062824e-01,2.85349282e-02
1.748,7.44573952e-01,8.25523936e+04,-1.54815110e+00,4.85865345e-02,-9.14295830e+01,6.61053469e-01,2.85998603e-02
1.749,7.44648734e-01,8.26952545e+04,-1.54810239e+00,4.88258381e-02,-9.14710058e+01,6.61044103e-01,2.86689578e-02
1.750,7.44723462e-01,8.28389064e+04,-1.54805345e+00,4.90689437e-02,-9.15072986e+01,6.61034725e-01,2.87424222e-02
1.751,7.44798132e-01,8.29833940e+04,-1.54800426e+00,4.93159889e-02,-9.15382730e+01,6.61025332e-01,2.88204636e-02
1.752,7.44872740e-01,8.31287644e+04,-1.54795481e+00,4.95671169e-02,-9.15637332e+01,6.61015924e-01,2.89033014e-02
1.753,7.44947281e-01,8.32750664e+04,-1.54790512e+00,4.98224767e-02,-9.15834749e+01,6.61006499e-01,2.89911643e-02
1.754,7.45021751e-01,8.34223511e+04,-1.54785517e+00,5.00822236e-02,-9.15972854e+01,6.60997055e-01,2.90842910e-02
1.755,7.45096145e-01,8.35706717e+04,-1.54780495e+00,5.03465194e-02,-9.16049431e+01,6.60987591e-01,2.91829304e-02
1.756,7.45170457e-01,8.37200841e+04,-1.54775447e+00,5.06155325e-02,-9.16062170e+01,6.60978105e-01,2.92873422e-02
1.757,7.45244684e-01,8.38706462e+04,-1.54770372e+00,5.08894381e-02,-9.16008667e+01,6.60968595e-01,2.93977974e-02
1.758,7.45318819e-01,8.40224187e+04,-1.54765269e+00,5.11684189e-02,-9.15886414e+01,6.60959058e-01,2.95145786e-02
1.759,7.45392856e-01,8.41754650e+04,-1.54760138e+00,5.14526651e-02,-9.15692800e+01,6.60949494e-01,2.96379808e-02
1.760,7.45466792e-01,8.43298511e+04,-1.54754979e+00,5.17423746e-02,-9.15425105e+01,6.60939900e-01,2.97683113e-02
1.761,7.45540618e-01,8.44856460e+04,-1.54749790e+00,5.20377534e-02,-9.15080492e+01,6.60930273e-01,2.99058912e-02
1.762,7.45614330e-01,8.46429216e+04,-1.54744571e+00,5.23390163e-02,-9.14656008e+01,6.60920612e-01,3.00510550e-02
1.763,7.45687920e-01,8.48017531e+04,-1.54739322e+00,5.26463866e-02,-9.14148575e+01,6.60910913e-01,3.02041520e-02
1.764,7.45761383e-01,8.49622187e+04,-1.54734041e+00,5.29600969e-02,-9.13554985e+01,6.60901176e-01,3.03655463e-02
1.765,7.45834712e-01,8.51244002e+04,-1.54728729e+00,5.32803894e-02,-9.12871896e+01,6.60891396e-01,3.05356177e-02
1.766,7.45907899e-01,8.52883830e+04,-1.54723385e+00,5.36075162e-02,-9.12095827e+01,6.60881571e-01,3.07147626e-02
1.767,7.45980937e-01,8.54542559e+04,-1.54718008e+00,5.39417397e-02,-9.11223148e+01,6.60871698e-01,3.09033941e-02
1.768,7.46053819e-01,8.56221119e+04,-1.54712596e+00,5.42833331e-02,-9.10250078e+01,6.60861774e-01,3.11019434e-02
1.769,7.46126536e-01,8.57920478e+04,-1.54707151e+00,5.46325807e-02,-9.09172678e+01,6.60851797e-01,3.13108600e-02
1.770,7.46199081e-01,8.59641646e+04,-1.54701670e+00,5.49897787e-02,-9.07986842e+01,6.60841762e-01,3.15306129e-02
1.771,7.46271445e-01,8.61385676e+04,-1.54696152e+00,5.53552348e-02,-9.06688293e+01,6.60831667e-01,3.17616909e-02
1.772,7.46343619e-01,8.63153668e+04,-1.54690598e+00,5.57292700e-02,-9.05272573e+01,6.60821508e-01,3.20046043e-02
1.773,7.46415594e-01,8.64946767e+04,-1.54685006e+00,5.61122178e-02,-9.03735037e+01,6.60811280e-01,3.22598848e-02
1.774,7.46487361e-01,8.66766170e+04,-1.54679376e+00,5.65044257e-02,-9.02070847e+01,6.60800982e-01,3.25280871e-02
