T,m,chi,E,Cv,dm/dbeta,binder,dbinder/dbeta
0.746,9.94966409e-01,2.16061875e+01,-1.97989917e+00,1.45245549e-03,1.07661894e-01,6.66666330e-01,2.69170902e-06
0.747,9.94965922e-01,2.18892931e+01,-1.97989771e+00,1.46956790e-03,1.09220897e-01,6.66666326e-01,2.73055631e-06
0.748,9.94965430e-01,2.21753052e+01,-1.97989623e+00,1.48683066e-03,1.10798260e-01,6.66666321e-01,2.76991218e-06
0.749,9.94964932e-01,2.24642042e+01,-1.97989474e+00,1.50424322e-03,1.12393994e-01,6.66666316e-01,2.80965652e-06
0.750,9.94964428e-01,2.27560434e+01,-1.97989323e+00,1.52180747e-03,1.14008386e-01,6.66666311e-01,2.84989966e-06
0.751,9.94963919e-01,2.30508279e+01,-1.97989169e+00,1.53952367e-03,1.15641539e-01,6.66666306e-01,2.89059833e-06
0.752,9.94963403e-01,2.33485538e+01,-1.97989015e+00,1.55739180e-03,1.17293526e-01,6.66666300e-01,2.93168288e-06
0.753,9.94962882e-01,2.36493074e+01,-1.97988858e+00,1.57541482e-03,1.18964756e-01,6.66666295e-01,2.97336538e-06
0.754,9.94962354e-01,2.39530373e+01,-1.97988700e+00,1.59359114e-03,1.20655124e-01,6.66666290e-01,3.01542600e-06
0.755,9.94961820e-01,2.42598155e+01,-1.97988539e+00,1.61192322e-03,1.22364990e-01,6.66666285e-01,3.05803298e-06
0.756,9.94961281e-01,2.45696300e+01,-1.97988377e+00,1.63041078e-03,1.24094397e-01,6.66666279e-01,3.10108896e-06
0.757,9.94960735e-01,2.48825023e+01,-1.97988213e+00,1.64905462e-03,1.25843514e-01,6.66666274e-01,3.14460348e-06
0.758,9.94960183e-01,2.51984802e+01,-1.97988047e+00,1.66785642e-03,1.27612612e-01,6.66666268e-01,3.18866768e-06
0.759,9.94959624e-01,2.55175563e+01,-1.97987880e+00,1.68681601e-03,1.29401752e-01,6.66666263e-01,3.23319951e-06
0.760,9.94959060e-01,2.58397650e+01,-1.97987710e+00,1.70593464e-03,1.31211157e-01,6.66666257e-01,3.27824796e-06
0.761,9.94958488e-01,2.61651111e+01,-1.97987538e+00,1.72521254e-03,1.33040934e-01,6.66666251e-01,3.32376854e-06
0.762,9.94957911e-01,2.64936290e+01,-1.97987365e+00,1.74465094e-03,1.34891307e-01,6.66666246e-01,3.36981054e-06
0.763,9.94957327e-01,2.68253022e+01,-1.97987189e+00,1.76424940e-03,1.36762305e-01,6.66666240e-01,3.41626202e-06
0.764,9.94956736e-01,2.71602361e+01,-1.97987012e+00,1.78401144e-03,1.38654420e-01,6.66666234e-01,3.46339680e-06
0.765,9.94956139e-01,2.74983788e+01,-1.97986833e+00,1.80393546e-03,1.40567550e-01,6.66666228e-01,3.51099074e-06
0.766,9.94955535e-01,2.78397704e+01,-1.97986651e+00,1.82402285e-03,1.42501941e-01,6.66666222e-01,3.55911105e-06
0.767,9.94954925e-01,2.81844248e+01,-1.97986468e+00,1.84427416e-03,1.44457740e-01,6.66666216e-01,3.60774175e-06
0.768,9.94954307e-01,2.85323614e+01,-1.97986282e+00,1.86469010e-03,1.46435116e-01,6.66666210e-01,3.65688306e-06
0.769,9.94953683e-01,2.88836092e+01,-1.97986095e+00,1.88527170e-03,1.48434277e-01,6.66666203e-01,3.70656774e-06
