Temperature,L=2,L=4
0.1,4.0,16.0
0.2,4.0,16.0
0.30000000000000004,3.9999999999790163,15.999999999916053
0.4,3.9999999835107714,15.999999934043084
0.5,3.9999990997187056,15.999996398874963
0.6,3.999987043246648,15.99994817298647
0.7000000000000001,3.9999129598252336,15.999651839301134
0.8,3.9996368170503795,15.998547268201358
0.9,3.998896849663869,15.995587398656195
1.0,3.9973171989562672,15.989268795823993
1.1,3.994450124069196,15.97780049628185
1.2000000000000002,3.989831869895347,15.959327479583951
1.3000000000000003,3.983033723641335,15.932134894576516
1.4000000000000001,3.9736987089125275,15.894794835629613
1.5000000000000002,3.961561976902726,15.846247907613245
1.6,3.946457192605723,15.785828770429344
1.7000000000000002,3.928312731275806,15.71325092508127
1.8000000000000003,3.907141468437563,15.628565873741316
1.9000000000000001,3.8830272545664433,15.532109018285917
2.0,3.856110320303269,15.4244412812337
2.1,3.8265730939144524,15.306292375643048
2.2,3.7946273092013825,15.178509236818456
2.3000000000000003,3.7605028442426063,15.042011376972846
2.4000000000000004,3.724438434670312,14.897753738669918
2.5000000000000004,3.6866742176258844,14.746696870502722
2.6,3.6474459541869226,14.589783816748394
2.7,3.606980724359967,14.427922897466136
2.8000000000000003,3.5654938709388753,14.261975483735505
2.9000000000000004,3.5231869729973107,14.092747891978142
