L,Temp,m,sm,e,se,x,sx,c,sc,u,su
4,1.0,0.99933125,0.000650000000000007,-1.9973625,0.002510478042126619,0.0014042124999987138,0.0014865902058061942,0.021422049999996064,0.020920076444413658,0.6665649323120275,0.00010544481904737295
4,1.1,0.9982500000000001,0.0010111874208078425,-1.9931875,0.003910242959203477,0.0035198636363637055,0.003328952588855144,0.04665276859503947,0.028843766976275886,0.666389694676166,0.00022970117793302776
4,1.2,0.9968999999999999,0.001476693942562237,-1.988025,0.005576961538328895,0.0058453333333331105,0.0031676923560931022,0.06938222222222193,0.03240042461361934,0.6661663286489032,0.0002582273668257641
4,1.3,0.9945875,0.0021041625412500644,-1.9797124999999998,0.007002856560004606,0.010821711538461419,0.008298585868696239,0.10343985207100664,0.0428065720067282,0.6657268995003496,0.0004890883106601215
4,1.4,0.9912749999999999,0.002608759283644256,-1.9682499999999998,0.008583268608170217,0.018685357142857194,0.010830291714618901,0.14404244897959206,0.050343622246782516,0.6650436474907053,0.0007380037276706242
4,1.5,0.9870999999999999,0.0036589786826381,-1.9534624999999997,0.01117687344475186,0.026374600000000175,0.015278482748296929,0.18701686666666673,0.06318499971391403,0.6641968969444677,0.0010247827248816427
4,1.6,0.9800187499999999,0.004500347208827366,-1.929975,0.013522666157233887,0.04288447656250016,0.02219985945074404,0.25412218750000004,0.06565452251402183,0.6625755073052794,0.001440355184519932
4,1.7,0.9687812499999999,0.0060330340625592395,-1.89535,0.018450000000000005,0.0704305220588233,0.024678265160522406,0.34675899653979236,0.06564833301124104,0.6596785468722305,0.0016730041447206416
4,1.8,0.9562625,0.008699281579532895,-1.8581624999999997,0.023562735409964595,0.10196402777777783,0.0377187012906798,0.4221872993827157,0.07340417225768119,0.6563883827923925,0.002607669925560806
4,1.9,0.93851875,0.014192955999368113,-1.8083625,0.035520979716218405,0.1469404934210526,0.05457992542122142,0.5189454432132963,0.10704909880045893,0.6510902625405588,0.004676243337134958
4,2.0,0.9213625000000001,0.013942314190979901,-1.76225,0.03610349706053419,0.1893830125,0.05793528289538325,0.58813005,0.11107170335698704,0.6455651294292024,0.005017014310703261
4,2.1,0.8986875,0.021585020847800892,-1.70145,0.05357835383809402,0.23615372619047603,0.07077192596949271,0.6642568253968255,0.14958956834211612,0.6379172561113806,0.008096591934897193
4,2.2,0.86316875,0.025799418598100223,-1.6138749999999997,0.0645368305698382,0.3164845625,0.07174499833901533,0.7635797933884295,0.13274575041703637,0.6245140546691194,0.01049208921755157
4,2.3,0.8311374999999999,0.02107006169900791,-1.5331625,0.04993095232418467,0.36424899999999993,0.06967395014384196,0.801098516068053,0.09254580191333824,0.6120888752211178,0.009782184897846944
4,2.4,0.79841875,0.017713624699648583,-1.458775,0.0344001816855667,0.4170431406249999,0.07335812437794799,0.8215490798611108,0.06503776176037716,0.5972728276314803,0.010379463392086471
4,2.5,0.76568125,0.02455661825252006,-1.3808125000000002,0.050760614653488904,0.4428955050000001,0.06520101937492745,0.8063057840000001,0.08444044568584932,0.5821175598778041,0.013784380271719184
4,2.6,0.726775,0.02732210643416793,-1.29385,0.05453258200378924,0.48310549999999997,0.04814078641265637,0.8119585946745561,0.059097513823409456,0.5605546804730422,0.017536262330584317
4,2.7,0.6936374999999999,0.03701769846978603,-1.2167875000000001,0.0845399905370234,0.48613719444444436,0.06237962221129262,0.7545787722908093,0.05500007916244642,0.5426321193849619,0.023831512982158534
4,2.8,0.65859375,0.03539976165173996,-1.1425874999999999,0.06814435046282262,0.49442954910714293,0.05204409120911957,0.7073371619897959,0.055658374592708094,0.5204815732289273,0.028051941087667957
4,2.9,0.63006875,0.02214520264075268,-1.0792875,0.036403159203563615,0.4872286250000002,0.04998014883988523,0.6558503032104639,0.04755842906475975,0.5015604243273588,0.025932923183763616
